user_id,place_id,rating
User_0001,EAS_001,5.0
User_0002,EAS_001,5.0
User_0003,EAS_001,5.0
User_0004,EAS_001,5.0
User_0005,EAS_001,5.0
User_0006,EAS_002,4.0
User_0007,EAS_002,5.0
User_0008,EAS_002,5.0
User_0009,EAS_002,5.0
User_0010,EAS_002,5.0
User_0011,EAS_002,5.0
User_0012,EAS_002,5.0
User_0013,EAS_002,5.0
User_0014,EAS_002,5.0
User_0015,EAS_002,5.0
User_0016,EAS_003,5.0
User_0017,EAS_003,4.0
User_0018,EAS_003,5.0
User_0019,EAS_003,5.0
User_0020,EAS_003,5.0
User_0021,EAS_003,5.0
User_0022,EAS_003,5.0
User_0023,EAS_003,5.0
User_0024,EAS_003,5.0
User_0025,EAS_003,5.0
User_0026,EAS_004,4.0
User_0027,EAS_004,4.0
User_0028,EAS_004,5.0
User_0029,EAS_004,5.0
User_0030,EAS_004,5.0
User_0031,EAS_004,5.0
User_0032,EAS_004,5.0
User_0033,EAS_004,5.0
User_0034,EAS_004,5.0
User_0035,EAS_004,4.0
User_0036,EAS_005,5.0
User_0037,EAS_005,5.0
User_0038,EAS_005,5.0
User_0039,EAS_005,5.0
User_0040,EAS_005,5.0
User_0041,EAS_005,5.0
User_0042,EAS_005,5.0
User_0043,EAS_005,5.0
User_0044,EAS_005,5.0
User_0045,EAS_005,5.0
User_0046,EAS_006,5.0
User_0047,EAS_006,5.0
User_0048,EAS_006,5.0
User_0049,EAS_006,5.0
User_0050,EAS_006,5.0
User_0051,EAS_006,5.0
User_0052,EAS_006,5.0
User_0053,EAS_006,4.0
User_0054,EAS_006,4.0
User_0055,EAS_006,4.0
User_0056,EAS_007,5.0
User_0057,EAS_007,5.0
User_0058,EAS_008,5.0
User_0059,EAS_008,5.0
User_0060,EAS_009,5.0
User_0061,EAS_009,5.0
User_0062,EAS_009,4.0
User_0063,EAS_009,5.0
User_0064,EAS_009,5.0
User_0065,EAS_009,5.0
User_0066,EAS_009,5.0
User_0067,EAS_009,5.0
User_0068,EAS_009,5.0
User_0069,EAS_009,5.0
User_0070,EAS_010,5.0
User_0071,EAS_012,5.0
User_0072,EAS_012,5.0
User_0073,EAS_012,5.0
User_0074,EAS_012,4.0
User_0075,EAS_012,5.0
User_0076,EAS_012,5.0
